,Tweets,id,subtask_b,subtask_c,
8065,1. This is a local Fox station not the national Fox News broadcast. 2. If you’d follow anyone outside your liberal bubble you would know the vast majority of conservatives are outraged by this too. URL,93446,TIN,GRP,
13075,"1/5 Several women MPs key in 1990s gun control debate in Canada. Min of Justice @USER did heavy lifting for @USER In introducing 1991 gun law she said Gun control works. It is probably the oldest and most effective form of crime prevention law..."" #cdnpoli #cdnhist URL",11975,TIN,GRP,
7187,@USER @USER @USER Sensible gun control can only help. Mentally unstable people should not have guns. People with restraining orders should not have guns. No one needs a gun with a magazine more than 5-6 rounds (unless the zombie apocalypse happens).,48299,TIN,GRP,
5844,@USER He is an israeli puppet.,37218,TIN,OTH,
12642,@USER And I will never watch your movies again because you are a maniac!,23029,TIN,IND,
6924,@USER He's probably referring to the fact that we started with Henderson who's is apparently shit and Sturridge who was apparently finished years ago. I mean like how could we possibly win with those two on the field... 😂😂,71510,TIN,OTH,
6525,@USER @USER What a waste of one’s short life.🤷🏻‍♂️🇺🇸,94663,TIN,OTH,
10038,@USER @USER Wow! YOU'RE exactly like ANTIFA! You say you're against radical influences but YOU are THE MOST RADICAL OF ALL! De-platforming anyone that disagrees with you? Did you pull that one straight out of Hitler's playbook? Can you get any more Nazi Fascist? LOOK BEHIND YOU! IT'S KARMA!,93437,TIN,IND,
1885,@USER EVERYONE should know about this.  It's about time we called out these violent liberals that have gone so far off the deep end.,97695,TIN,GRP,
2660,@USER BITCH I FUCKING FELT THAT SHIT🤧💀,22715,TIN,IND,
12376,@USER @USER Thats silly when the 90s cartoons made him popular as fuck,74927,TIN,OTH,
4527,@USER Not surprising. That I*n C*nnor nigga was on the payroll,14758,TIN,IND,
197,@USER the owner of my culo,53501,TIN,IND,
7298,@USER He's beyond moron.,22707,TIN,OTH,
7753,@USER He’s a dumb ass!,32097,TIN,OTH,
490,@USER Hopefully your obesity catches up with you by then,38806,TIN,IND,
2219,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER that's what you are implying that no-one took correct records-having been to hospital it is usual for the doctors or nurses to record as they go-so it is your claim that so many are incompetent if no single record was produced correctly-,18151,TIN,GRP,
12458,@USER I think I’ll blame all the dumbasses for gun control,63840,TIN,OTH,
7569,@USER He looks like he’s been sucking on a lemon before he goes into those hearings.,81253,TIN,IND,
